#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 04 01 00 00 360  8.2  9.8 99.00 99.00 99.00 999 9999.0   3.1 999.0   2.5 99.0 99.00
2020 04 01 00 10 360  8.2  9.8 99.00 99.00 99.00 999 9999.0   3.1 999.0   2.9 99.0 99.00
2020 04 01 00 20 350  9.3  9.8 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.5 99.0 99.00
2020 04 01 00 30 350  9.3  9.8 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.6 99.0 99.00
2020 04 01 00 40 350  7.7  9.3 99.00 99.00 99.00 999 9999.0   3.1 999.0   2.7 99.0 99.00
2020 04 01 00 50 360  8.2  9.3 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.8 99.0 99.00
2020 04 01 01 00 360  9.3  9.8 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.5 99.0 99.00
2020 04 01 01 10 360  8.2  9.3 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.7 99.0 99.00
2020 04 01 01 20 360  7.7  8.8 99.00 99.00 99.00 999 9999.0   3.1 999.0   3.0 99.0 99.00
2020 04 01 01 30 360  8.8  9.3 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.7 99.0 99.00
2020 04 01 01 40 360  8.8  9.8 99.00 99.00 99.00 999 9999.0   3.1 999.0   2.8 99.0 99.00
2020 04 01 01 50 360  8.2  8.8 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.8 99.0 99.00
2020 04 01 02 00 360  8.8  9.8 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.8 99.0 99.00
2020 04 01 02 10 360  8.2  9.3 99.00 99.00 99.00 999 9999.0   3.1 999.0   2.8 99.0 99.00
2020 04 01 02 20 360  8.8  9.8 99.00 99.00 99.00 999 9999.0   3.0 999.0   2.7 99.0 99.00
