#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 08 01 00 00 360  7.7  8.2 99.00 99.00 99.00 999 9999.0  22.9 999.0  18.5 99.0 99.00
2020 08 01 00 10  10  8.2  8.8 99.00 99.00 99.00 999 9999.0  22.9 999.0  19.0 99.0 99.00
2020 08 01 00 20  10  8.2  8.8 99.00 99.00 99.00 999 9999.0  22.9 999.0  18.5 99.0 99.00
2020 08 01 00 30  10  7.7  8.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  18.6 99.0 99.00
2020 08 01 00 40  10  7.7  8.8 99.00 99.00 99.00 999 9999.0  22.9 999.0  18.5 99.0 99.00
2020 08 01 00 50  10  7.7  8.2 99.00 99.00 99.00 999 9999.0  22.9 999.0  18.9 99.0 99.00
2020 08 01 01 00  20  7.2  8.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  18.8 99.0 99.00
2020 08 01 01 10  20  7.7  8.2 99.00 99.00 99.00 999 9999.0  22.9 999.0  19.2 99.0 99.00
2020 08 01 01 20  20  7.2  7.7 99.00 99.00 99.00 999 9999.0  22.9 999.0  19.5 99.0 99.00
2020 08 01 01 30  20  7.2  7.7 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.6 99.0 99.00
2020 08 01 01 40  10  6.7  7.2 99.00 99.00 99.00 999 9999.0  22.9 999.0  19.5 99.0 99.00
2020 08 01 01 50  10  7.2  8.2 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.4 99.0 99.00
2020 08 01 02 00  20  6.7  7.7 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.6 99.0 99.00
2020 08 01 02 10  10  7.2  8.2 99.00 99.00 99.00 999 9999.0  22.9 999.0  19.3 99.0 99.00
2020 08 01 02 20  20  7.2  7.7 99.00 99.00 99.00 999 9999.0  23.0 999.0  18.9 99.0 99.00
2020 08 01 02 30  10  6.7  7.2 99.00 99.00 99.00 999 9999.0  22.9 999.0  19.2 99.0 99.00
2020 08 01 02 40  20  7.2  7.7 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.3 99.0 99.00
2020 08 01 02 50  20  7.2  7.7 99.00 99.00 99.00 999 9999.0  23.0 999.0  18.9 99.0 99.00
