#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 03 01 00 00 200  8.8  9.8 99.00 99.00 99.00 999 9999.0   1.1 999.0  -7.7 99.0 99.00
2020 03 01 00 10 200  8.2  9.3 99.00 99.00 99.00 999 9999.0   1.1 999.0  -8.3 99.0 99.00
2020 03 01 00 20 200  7.7  8.2 99.00 99.00 99.00 999 9999.0   1.0 999.0  -7.6 99.0 99.00
2020 03 01 00 30 200  7.7  8.8 99.00 99.00 99.00 999 9999.0   1.1 999.0  -8.0 99.0 99.00
2020 03 01 00 40 200  7.7  8.8 99.00 99.00 99.00 999 9999.0   1.1 999.0  -8.2 99.0 99.00
2020 03 01 00 50 190  7.2  8.2 99.00 99.00 99.00 999 9999.0   1.0 999.0  -7.2 99.0 99.00
2020 03 01 01 00 190  7.7  8.2 99.00 99.00 99.00 999 9999.0   0.7 999.0  -5.9 99.0 99.00
2020 03 01 01 10 200  8.8  9.8 99.00 99.00 99.00 999 9999.0   0.7 999.0  -5.8 99.0 99.00
2020 03 01 01 20 200  9.3  9.8 99.00 99.00 99.00 999 9999.0   0.5 999.0  -5.3 99.0 99.00
2020 03 01 01 30 200  8.8  9.3 99.00 99.00 99.00 999 9999.0   0.4 999.0  -5.3 99.0 99.00
2020 03 01 01 40 200  8.2  8.8 99.00 99.00 99.00 999 9999.0   0.3 999.0  -5.0 99.0 99.00
2020 03 01 01 50 200  8.2  8.8 99.00 99.00 99.00 999 9999.0   0.2 999.0  -5.1 99.0 99.00
2020 03 01 02 00 200  8.8  9.3 99.00 99.00 99.00 999 9999.0   0.2 999.0  -5.5 99.0 99.00
2020 03 01 02 10 190  7.7  8.8 99.00 99.00 99.00 999 9999.0   0.2 999.0  -5.4 99.0 99.00
2020 03 01 02 20 190  7.7  9.3 99.00 99.00 99.00 999 9999.0   0.2 999.0  -5.2 99.0 99.00
2020 03 01 02 30 190  7.7  8.2 99.00 99.00 99.00 999 9999.0   0.2 999.0  -4.8 99.0 99.00
2020 03 01 02 40 190  7.7  8.2 99.00 99.00 99.00 999 9999.0   0.1 999.0  -4.7 99.0 99.00
2020 03 01 02 50 180  6.7  7.7 99.00 99.00 99.00 999 9999.0   0.1 999.0  -4.2 99.0 99.00
2020 03 01 03 00 180  8.2  8.8 99.00 99.00 99.00 999 9999.0  -0.2 999.0  -4.1 99.0 99.00
2020 03 01 03 10 180  7.7  8.2 99.00 99.00 99.00 999 9999.0  -0.3 999.0  -4.1 99.0 99.00
2020 03 01 03 20 180  7.7  8.8 99.00 99.00 99.00 999 9999.0  -0.2 999.0  -4.4 99.0 99.00
2020 03 01 03 30 180  7.2  8.2 99.00 99.00 99.00 999 9999.0  -0.3 999.0  -4.2 99.0 99.00
2020 03 01 03 40 180  7.2  7.7 99.00 99.00 99.00 999 9999.0  -0.3 999.0  -3.8 99.0 99.00
2020 03 01 03 50 180  8.8  9.3 99.00 99.00 99.00 999 9999.0  -0.5 999.0  -4.5 99.0 99.00
2020 03 01 04 00 180  8.2  8.8 99.00 99.00 99.00 999 9999.0  -0.5 999.0  -4.3 99.0 99.00
2020 03 01 04 10 180  7.7  8.2 99.00 99.00 99.00 999 9999.0  -0.5 999.0  -4.3 99.0 99.00
2020 03 01 04 20 180  8.2  8.2 99.00 99.00 99.00 999 9999.0  -0.5 999.0  -4.2 99.0 99.00
2020 03 01 04 30 180  7.7  8.8 99.00 99.00 99.00 999 9999.0  -0.4 999.0  -4.1 99.0 99.00
2020 03 01 04 40 180  8.2  9.3 99.00 99.00 99.00 999 9999.0  -0.4 999.0  -4.2 99.0 99.00
